Series ID,State ID,,,Series name,State name,"Jan
2020","Feb
2020","Mar
2020","Apr
2020","May
2020","Jun
2020","Jul
2020","Aug
2020","Sep
2020","Oct
2020","Nov
2020","Dec
2020","Jan
2021","Feb
2021","Mar
2021","Apr
2021","May
2021","Jun
2021","Jul
2021","Aug
2021","Sep
2021","Oct
2021","Nov
2021","Dec
2021"
JTU000000290000000QUL,29,29,JTUQUL,"Quits levels, not seasonally adjusted",Missouri,82,77,65,45,56,74,79,84,81,62,53,64,73,73,70,69,75,100,98,110,,,,
JTS000000290000000QUR,29,29,JTSQUR,"Quits rate, seasonally adjusted",Missouri,2.8,2.9,2.3,2,2.2,2.5,2.5,2.4,2.8,2.3,2.3,2.7,2.5,2.8,2.6,2.7,2.7,3.2,3.1,3.3,,,,
JTU000000290000000QUR,29,29,JTUQUR,"Quits rate, not seasonally adjusted",Missouri,2.9,2.7,2.2,1.7,2.1,2.7,2.9,3,2.9,2.2,1.9,2.3,2.6,2.6,2.5,2.5,2.6,3.5,3.5,3.9,,,,
JTS000000300000000QUL,30,30,JTSQUL,"Quits levels, seasonally adjusted",Montana,15,13,10,9,5,10,14,14,13,13,14,12,16,13,15,15,9,14,15,16,,,,
JTU000000300000000QUL,30,30,JTUQUL,"Quits levels, not seasonally adjusted",Montana,13,10,8,7,7,11,15,18,17,16,12,10,15,9,13,14,10,14,17,21,,,,
JTS000000300000000QUR,30,30,JTSQUR,"Quits rate, seasonally adjusted",Montana,3.1,2.7,2.1,2.1,1.1,2.2,3,3,2.7,2.7,2.9,2.5,3.3,2.7,3.1,3.1,1.9,2.9,3.1,3.3,,,,
JTU000000300000000QUR,30,30,JTUQUR,"Quits rate, not seasonally adjusted",Montana,2.7,2.1,1.6,1.7,1.4,2.4,3.2,3.9,3.6,3.2,2.6,2.1,3.1,2,2.7,3,2.1,2.9,3.4,4.3,,,,
JTS000000310000000QUL,31,31,JTSQUL,"Quits levels, seasonally adjusted",Nebraska,27,26,23,10,14,19,29,22,24,25,25,24,26,28,29,17,23,28,30,33,,,,
JTU000000310000000QUL,31,31,JTUQUL,"Quits levels, not seasonally adjusted",Nebraska,27,21,20,9,17,20,31,28,24,27,21,20,26,25,26,17,26,32,32,38,,,,
JTS000000310000000QUR,31,31,JTSQUR,"Quits rate, seasonally adjusted",Nebraska,2.6,2.5,2.2,1.1,1.5,2,3,2.2,2.4,2.5,2.5,2.4,2.6,2.8,2.9,1.7,2.3,2.8,3,3.2,,,,
