state_fips,state_abb,year,month,epop_all,urate_all,epop_prime,emp_overall_sa,emp_private_sa,emp_overall_nsa,emp_private_nsa,cases_level,deaths_level,cases_rate,deaths_rate,vax_rate,vax_1864_rate,quit_level_sa,quit_level_nsa,quit_rate_sa,quit_rate_nsa
51,VA,2021,1,0.5996124203965013,0.054691171039858606,0.7905594000537071,3897.4,3192.3,3842,3142.1,430871.1935483871,5707.774193548387,0.05035517362399725,6.670577305382634e-4,0,0,86,80,2.2,2.1
51,VA,2021,2,0.5948510385710848,0.05201967999224755,0.7909259165567507,3886.8,3184.6,3843.2,3134.5,546745.2142857143,7177.5,0.06389717067579949,8.388220519217703e-4,0,0,88,75,2.3,2
51,VA,2021,3,0.6050662789295587,0.05272058302111263,0.8019413370583203,3887.3,3184.1,3864.9,3151.8,597923.8064516129,9895.322580645161,0.06987832451697908,0.001156449291748464,11.570967741935483,10.556330733112667,92,86,2.4,2.2
51,VA,2021,4,0.6063248400774874,0.030342471962372275,0.8090058421873119,3892,3190.5,3897.5,3181.5,641415,10537.1,0.07496106533380735,0.0012314527124075076,25.003333333333334,23.764340947931732,127,125,3.3,3.2
51,VA,2021,5,0.6153232477305435,0.041227132803988126,0.8145822959569936,3891,3193.6,3901.8,3197.6,669429.1612903225,10999.258064516129,0.07823503207103004,0.001285464328707001,39.909677419354836,43.8910611578909,102,107,2.6,2.8
51,VA,2021,6,0.6230898990709829,0.04702262915914698,0.8242852100240535,3900.2,3195.9,3929.6,3226.2,678068.1333333333,11314.7,0.07924465384123039,0.001322329483926054,48.73,54.704938847614315,105,114,2.7,2.9
51,VA,2021,7,0.62471064337609306,0.04220972230646381,0.8018931398231005,3902.7,3207.2,3914,3245,685486.2580645161,11472.451612903225,0.0801115972906797,0.0013407656429827526,53.303225806451614,59.51293771860783,98,109,2.5,2.8
51,VA,2021,8,0.6217527494142725,0.03558653586655921,0.7970936986405159,3926.3,3208.5,3923.4,3235.3,725850.5161290322,11635.451612903225,0.08482889854793882,0.001359815171991913,55.80967741935484,62.35076584202108,112,141,2.9,3.6
51,VA,2021,9,0.5972725559176448,0.03044676895387372,0.7795629791091764,3929,3216,3933,3222.1,769842,11861,0.08997010743233151,0.0013861746231757738,57.4,64.12065145298459,NA,NA,NA,NA
53,WA,2020,1,0.6343807791570208,0.04513515182822884,0.8123624898640539,3502.7,2911,3465.8,2870.2,1,0,1.3133659678509025e-7,0,NA,NA,78,77,2.2,2.2
53,WA,2020,2,0.6263121988103028,0.04068627087860708,0.7923303641958606,3513.1,2920.5,3478.7,2880.4,2.0689655172413794,0.034482758620689655,2.717308899001867e-7,4.5288481650031116e-9,NA,NA,80,66,2.3,1.9
53,WA,2020,3,0.6033245390330719,0.05434657316731808,0.7798453236041544,3497.6,2904.4,3471.5,2872.6,1490.774193548387,76.6774193548387,1.9579320915568261e-4,1.0070551308327727e-5,NA,NA,62,55,1.8,1.6
53,WA,2020,4,0.5391836143976728,0.16338335181660069,0.7075814046971778,3101.2,2540.5,3101.1,2532.2,10918.4,564.6,0.0014339854983383294,7.415264254486195e-5,NA,NA,51,44,1.6,1.4
53,WA,2020,5,0.5584303523509808,0.14091319539449731,0.7386157908825788,3098.2,2558.7,3110,2561.3,19177.1935483871,994.3225806451613,0.0025186673365341504,1.3059094384850392e-4,NA,NA,57,49,1.8,1.6
53,WA,2020,6,0.576657119436998,0.09118359635203742,0.7623558033449193,3180.6,2636.1,3206.1,2654.2,28199.6,1229.7666666666667,0.003703639494700831,1.6151336883974448e-4,NA,NA,52,52,1.6,1.6
53,WA,2020,7,0.5756496055181058,0.10697506786605768,0.7567274712971456,3212.1,2658,3227.4,2685.3,46421.67741935484,1487.1290322580646,0.006096865129313335,1.953144660770789e-4,NA,NA,63,77,2,2.4
53,WA,2020,8,0.5931900197149593,0.08623905924596227,0.7673849988694957,3245.8,2672.9,3249.7,2703.6,69375.51612903226,1851.516129032258,0.009111544188596235,2.4317182727980082e-4,NA,NA,54,76,1.7,2.3
53,WA,2020,9,0.5846349610407549,0.07277043989042102,0.757528680253541,3259.6,2699.1,3271.1,2721.7,84583.26666666666,2112.3,0.011108878388965765,2.7742229338914614e-4,NA,NA,54,62,1.7,1.9
53,WA,2020,10,0.6123286347391946,0.058521834857398064,0.7975919540406581,3260.2,2721.2,3277.1,2730.8,101551.41935483871,2340.7096774193546,0.013337417816760061,3.0742084309418445e-4,NA,NA,59,71,1.8,2.2
53,WA,2020,11,0.58983542549808,0.06331009170643712,0.7716381435530558,3272.2,2733,3287.1,2741.3,139096.23333333334,2669.0333333333333,0.01826842591162483,3.5054175470596537e-4,NA,NA,62,46,1.9,1.4
53,WA,2020,12,0.57932457329677,0.07648795686517429,0.7689775341792368,3266.8,2723.9,3269,2724.6,215315.90322580645,3168.967741935484,0.028278857963385255,4.1620143854753856e-4,0,0,61,48,1.9,1.5
53,WA,2021,1,0.5865219164813247,0.06482926675390793,0.7855404604537509,3271.9,2729.2,3231.6,2686.7,288481.93548387097,3960.451612903226,0.03788823564042758,5.201522365707313e-4,0,0,68,71,2.1,2.2
53,WA,2021,2,0.5950682514767646,0.06707586651318927,0.7874771040535805,3301.5,2758.4,3265,2718.4,331560.4285714286,4747.428571428572,0.04354601831717743,6.235111120517313e-4,0,0,68,61,2.1,1.9
